| 02-KR-21 | 35 | 01 | 249 | | ON |
| 78-SR-10 | 70 | 01 | 38 | | OFF |
| 60-PP-91 | 72 | 01 | 283 | | ON |
| 81-HO-12 | 74 | 01 | 76 | | OFF |
| 80-CQ-01 | 106 | 01 | 135 | | ON |
| 61-SF-78 | 134 | 01 | 38 | | OFF |
| 02-KR-21 | 161 | 01 | 198 | | ON |
| 61-SF-78 | 310 | 01 | 11 | | OFF |
| 02-KR-21 | 325 | 01 | 150 | | ON |
| 81-HO-12 | 343 | 01 | 22 | | OFF |
| 61-SF-78 | 377 | 01 | 179 | | ON |
| 02-KR-21 | 405 | 01 | 33 | | OFF |
| 02-KR-21 | 417 | 01 | 153 | | ON |
| 81-HO-12 | 492 | 01 | 110 | | OFF |
| 78-SR-10 | 527 | 01 | 299 | | ON |
| 60-PP-91 | 678 | 01 | 35 | | OFF |
| 61-SF-78 | 690 | 01 | 165 | | ON |
| 61-SF-78 | 765 | 01 | 71 | | OFF |
| 80-CQ-01 | 824 | 01 | 181 | | ON |
| 81-HO-12 | 984 | 01 | 10 | | OFF |
| 80-CQ-01 | 1010 | 01 | 183 | | ON |
| 06-UF-65 | 1132 | 01 | 5 | | OFF |
| 87-IW-63 | 1165 | 01 | 169 | | ON |
| 61-SF-78 | 1190 | 01 | 44 | | OFF |
| 12-VI-17 | 1196 | 01 | 168 | | ON |
| 61-SF-78 | 1217 | 01 | 10 | | OFF |
| 12-VI-17 | 1231 | 01 | 294 | | ON |
| 02-KR-21 | 1248 | 01 | 109 | | OFF |
| 78-SR-10 | 1289 | 01 | 217 | | ON |
| 87-IW-63 | 1309 | 01 | 66 | | OFF |
| 24-VW-38 | 1335 | 01 | 130 | | ON |
| 24-VW-38 | 1364 | 01 | 7 | | OFF |
| 24-VW-38 | 1524 | 01 | 262 | | ON |
| 60-PP-91 | 1597 | 01 | 7 | | OFF |
| 60-PP-91 | 1602 | 01 | 255 | | ON |
| 02-KR-21 | 1622 | 01 | 12 | | OFF |
| 61-SF-78 | 1654 | 01 | 282 | | ON |
| 80-CQ-01 | 1679 | 01 | 73 | | OFF |
| 80-CQ-01 | 1708 | 01 | 141 | | ON |
| 60-PP-91 | 1746 | 01 | 115 | | OFF |
| 24-VW-38 | 1750 | 01 | 208 | | ON |
| 81-HO-12 | 1844 | 01 | 93 | | OFF |
| 80-CQ-01 | 1850 | 01 | 141 | | ON |
| 60-PP-91 | 1861 | 01 | 31 | | OFF |
| 12-VI-17 | 1914 | 01 | 254 | | ON |
| 87-IW-63 | 1914 | 01 | 37 | | OFF |
| 06-UF-65 | 2060 | 01 | 178 | | ON |
| 78-SR-10 | 2087 | 01 | 17 | | OFF |
| 87-IW-63 | 2100 | 01 | 260 | | ON |
| 12-VI-17 | 2144 | 01 | 92 | | OFF |
| 24-VW-38 | 2192 | 01 | 281 | | ON |
| 02-KR-21 | 2245 | 01 | 14 | | OFF |
| 80-CQ-01 | 2298 | 01 | 144 | | ON |
| 78-SR-10 | 2311 | 01 | 70 | | OFF |
| 06-UF-65 | 2400 | 01 | 267 | | ON |
| 87-IW-63 | 2419 | 01 | 33 | | OFF |
| 87-IW-63 | 2470 | 01 | 212 | | ON |
| 81-HO-12 | 2572 | 01 | 91 | | OFF |
| 81-HO-12 | 2609 | 01 | 281 | | ON |
| 61-SF-78 | 2648 | 01 | 24 | | OFF |
| 02-KR-21 | 2676 | 01 | 164 | | ON |
| 78-SR-10 | 2683 | 01 | 81 | | OFF |
| 80-CQ-01 | 2697 | 01 | 300 | | ON |
| 60-PP-91 | 2782 | 01 | 93 | | OFF |
| 87-IW-63 | 2782 | 01 | 259 | | ON |
| 24-VW-38 | 2804 | 01 | 54 | | OFF |
| 80-CQ-01 | 2843 | 01 | 160 | | ON |
| 02-KR-21 | 2857 | 01 | 55 | | OFF |
